Sample description: Apoferritin_1_ball extrapolated to I(0)
Sample: extrapolated  c= 1 mg/ml  Code: extrapolated
 1.756271e-001  2.590209e-002  1.805780e-004
 1.760080e-001  2.611772e-002  1.828472e-004
 1.763902e-001  2.537590e-002  1.797721e-004
 1.767711e-001  2.593626e-002  1.817462e-004
 1.771520e-001  2.580762e-002  1.815593e-004
 1.775342e-001  2.609127e-002  1.810410e-004
 1.779151e-001  2.601065e-002  1.818082e-004
 1.782974e-001  2.559985e-002  1.802360e-004
 1.786783e-001  2.628712e-002  1.814589e-004
 1.790605e-001  2.611553e-002  1.817131e-004
 1.794414e-001  2.579835e-002  1.793153e-004
 1.798223e-001  2.599902e-002  1.809156e-004
 1.802045e-001  2.599831e-002  1.811739e-004
 1.805854e-001  2.567730e-002  1.777582e-004
 1.809677e-001  2.597456e-002  1.801835e-004
 1.813486e-001  2.628663e-002  1.802993e-004
 1.817308e-001  2.564883e-002  1.786042e-004
 1.821117e-001  2.586176e-002  1.787100e-004
 1.824926e-001  2.612532e-002  1.792393e-004
 1.828748e-001  2.583978e-002  1.793953e-004
 1.832557e-001  2.593459e-002  1.782709e-004
 1.836380e-001  2.597699e-002  1.789815e-004
 1.840189e-001  2.599412e-002  1.782259e-004
 1.844011e-001  2.612382e-002  1.785454e-004
 1.847820e-001  2.604170e-002  1.789522e-004
 1.851629e-001  2.631212e-002  1.780123e-004
 1.855451e-001  2.618996e-002  1.783984e-004
 1.859260e-001  2.595543e-002  1.775979e-004
 1.863083e-001  2.643612e-002  1.789865e-004
 1.866892e-001  2.641907e-002  1.782511e-004
 1.870700e-001  2.635017e-002  1.777134e-004
 1.874523e-001  2.615262e-002  1.779625e-004
 1.878332e-001  2.628901e-002  1.774463e-004
 1.882154e-001  2.618944e-002  1.773529e-004
 1.885963e-001  2.613647e-002  1.763283e-004
 1.889786e-001  2.628442e-002  1.779186e-004
 1.893595e-001  2.659803e-002  1.778784e-004
 1.897403e-001  2.606365e-002  1.762023e-004
 1.901226e-001  2.592632e-002  1.761577e-004
 1.905035e-001  2.630206e-002  1.753432e-004
 1.908857e-001  2.641922e-002  1.777028e-004
 1.912666e-001  2.630161e-002  1.765248e-004
 1.916489e-001  2.622267e-002  1.747286e-004
 1.920298e-001  2.647483e-002  1.800551e-004
 1.924106e-001  2.634291e-002  1.799210e-004
 1.927929e-001  2.656391e-002  1.838652e-004
 1.931738e-001  2.634418e-002  1.823094e-004
 1.935560e-001  2.643100e-002  1.844133e-004
 1.939369e-001  2.629818e-002  1.858030e-004
 1.943192e-001  2.631927e-002  1.842943e-004
 1.947001e-001  2.655982e-002  1.876422e-004
 1.950809e-001  2.630971e-002  1.854269e-004
 1.954632e-001  2.652795e-002  1.879572e-004
 1.958441e-001  2.651125e-002  1.895644e-004
 1.962263e-001  2.642825e-002  1.883939e-004
 1.966072e-001  2.644531e-002  1.902146e-004
 1.969881e-001  2.663329e-002  1.886894e-004
 1.973704e-001  2.627433e-002  1.897472e-004
 1.977512e-001  2.620705e-002  1.898015e-004
 1.981335e-001  2.645036e-002  1.906806e-004
 1.985144e-001  2.615759e-002  1.910535e-004
 1.988966e-001  2.610465e-002  1.898784e-004
 1.992775e-001  2.657411e-002  1.931858e-004
 1.996584e-001  2.617619e-002  1.905147e-004
 2.000407e-001  2.677940e-002  1.934653e-004
 2.004215e-001  2.647523e-002  1.902479e-004
 2.008038e-001  2.653399e-002  1.873382e-004
 2.011847e-001  2.599211e-002  1.847879e-004
 2.015669e-001  2.669367e-002  1.837799e-004
 2.019478e-001  2.615377e-002  1.827729e-004
 2.023287e-001  2.641506e-002  1.826862e-004
 2.027110e-001  2.639485e-002  1.818303e-004
 2.030918e-001  2.656157e-002  1.820781e-004
 2.034741e-001  2.624706e-002  1.796564e-004
 2.038550e-001  2.611825e-002  1.798481e-004
 2.042372e-001  2.643075e-002  1.799051e-004
 2.046181e-001  2.608233e-002  1.784035e-004
 2.049990e-001  2.620336e-002  1.783821e-004
 2.053813e-001  2.635834e-002  1.785376e-004
 2.057621e-001  2.638075e-002  1.790470e-004
 2.061444e-001  2.627920e-002  1.767490e-004
 2.065253e-001  2.636080e-002  1.776276e-004
 2.069062e-001  2.669713e-002  1.787572e-004
